Country name,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,year,Regional indicator_Central and Eastern Europe,Regional indicator_Commonwealth of Independent States,Regional indicator_East Asia,Regional indicator_Latin America and Caribbean,Regional indicator_Middle East and North Africa,Regional indicator_North America and ANZ,Regional indicator_South Asia,Regional indicator_Southeast Asia,Regional indicator_Sub-Saharan Africa,Regional indicator_Unkown,Regional indicator_Western Europe
Argentina,6.468,0.6181097809365642,0.7534294032749396,0.538560002007944,-0.0006799042283767417,-0.9163413685989813,0.4036447413404845,7,0,0,0,1,0,0,0,0,0,0,0
Argentina,6.582,0.6285189013486435,0.8215191886294131,0.5627283334833391,-0.07209847663850029,-0.8041818149762858,0.4357320369506112,8,0,0,0,1,0,0,0,0,0,0,0
Argentina,6.671,0.597291540112407,0.8896089739838866,0.5868966649587322,-0.014963618710401451,-1.016038749596933,0.6015163976029322,9,0,0,0,1,0,0,0,0,0,0,0
Argentina,6.697,0.6111703673285124,0.9576987593383602,0.6110649964341273,0.956328966067278,-1.0783496127206527,0.5854727497978689,10,0,0,0,1,0,0,0,0,0,0,0
Argentina,6.427,0.5834127128963018,0.5917161630580648,0.6379186980734545,0.7206476771138703,-1.1905091663433482,0.5854727497978689,11,0,0,0,1,0,0,0,0,0,0,0
Argentina,6.039,0.597291540112407,0.7959855191214855,0.6647723997127798,0.6063779612576726,-1.1531226484691164,0.5319939237809912,12,0,0,0,1,0,0,0,0,0,0,0
Argentina,5.793,0.5669316055771768,0.7364069569363212,0.691626101352107,0.7063639626318456,-1.3088998062784156,0.60686428020462,13,0,0,0,1,0,0,0,0,0,0,0
Argentina,6.086,0.5391739511449662,0.7023620642590843,0.7184798029914342,0.4992501026424873,-1.3088998062784156,0.4731672151624256,14,0,0,0,1,0,0,0,0,0,0,0
Argentina,5.901,0.40905994599397943,0.7108732874283935,0.7453335046307614,0.5421012460885615,-0.75433312447731,0.3982968587387967,15,0,0,0,1,0,0,0,0,0,0,0
Argentina,5.929,0.5062117365067161,0.7193845105977027,0.7184798029914342,0.5778105322936232,-1.1281983032196286,0.4945587455691767,16,0,0,0,1,0,0,0,0,0,0,0
Armenia,4.289,-0.29008597501732075,-1.1190396939730813,0.15455206856557022,-1.6218814979381797,-1.4335215325258552,0.5801248671961812,1,0,1,0,0,0,0,0,0,0,0,0
Armenia,4.882,-0.1712485169794209,-0.4551642867669651,0.1679789193852348,-1.0148236324521303,-1.5581432587732946,0.4036447413404845,2,0,1,0,0,0,0,0,0,0,0,0
Armenia,4.652,-0.1061915144039267,-0.889236668401734,0.18140577020489745,-2.036109217916896,-1.3338241515279037,0.7191698148400633,3,0,1,0,0,0,0,0,0,0,0,0
Armenia,4.178,-0.23196838604988,-1.1360621403116997,0.19483262102456012,-2.1860882199781555,-1.3275930652155317,0.75125711045019,4,0,1,0,0,0,0,0,0,0,0,0
Armenia,4.368,-0.21028271852471678,-1.3062866036978835,0.20825947184422466,-2.057534789639933,-1.0908117853453967,0.7993880538653799,5,0,1,0,0,0,0,0,0,0,0,0
Armenia,4.26,-0.17038109027841325,-0.9232815610789707,0.22974243315568568,-2.0146836461938586,-1.3961350146516234,0.7138219322383755,6,0,1,0,0,0,0,0,0,0,0,0
Armenia,4.32,-0.11226350131097246,-1.1701070329889365,0.2512253944671467,-1.750434928276402,-1.3338241515279037,0.8100838190687555,7,0,1,0,0,0,0,0,0,0,0,0
Armenia,4.277,-0.08797555368278943,-0.7700795440314053,0.27270835577860963,-1.7361512137943773,-1.2092024252804643,0.8475189972805699,8,0,1,0,0,0,0,0,0,0,0,0
Armenia,4.453,-0.06195275265259115,-0.6338999733224582,0.2941913170900706,-1.7218674993123526,-1.3525174104650195,0.9544766493143254,9,0,1,0,0,0,0,0,0,0,0,0
Armenia,4.348,-0.03853223172541423,-0.7700795440314053,0.31567427840153167,-1.4004839234667967,-1.25905111577944,0.8528668798822577,10,0,1,0,0,0,0,0,0,0,0,0
Armenia,4.325,-0.03939965842642032,-0.889236668401734,0.35595483086052154,-0.9719724890060563,-1.0534252674711648,0.9598245319160132,11,0,1,0,0,0,0,0,0,0,0,0
Armenia,4.288,0.020452783943032668,-0.9828601232641352,0.3962353833195114,-0.9505469172830191,-0.9101102822866094,0.6603431062214977,12,0,1,0,0,0,0,0,0,0,0,0
Armenia,5.062,0.06295669229235604,0.00444176437573044,0.4365159357785032,0.4349733874733769,-1.009807663284561,-0.3450588228958029,13,0,1,0,0,0,0,0,0,0,0,0
Armenia,5.488,0.12454398806382275,-0.26791737704216284,0.47679648823749304,0.6920802481498209,-1.0658874400959086,-0.8477597874544539,14,0,1,0,0,0,0,0,0,0,0,0
Armenia,5.283,0.09418405352859244,-0.12322658316390653,0.45732755454898166,0.5563849605705862,-1.040963094846421,-0.6017571877768162,16,0,1,0,0,0,0,0,0,0,0,0
Australia,7.341,1.1108081471083011,1.3151701324493454,1.040724222663357,1.3419892570819452,1.6633283647230157,-1.8799011295801935,0,0,0,0,0,0,1,0,0,0,0,0
Australia,7.285,1.1489749219525893,1.2896364629414179,1.083690145286279,1.0277475384774015,2.1680463560251457,-1.2221115695725977,2,0,0,0,0,0,1,0,0,0,0,0
Australia,7.254,1.1628537491686946,1.1364344458938522,1.1051731065977402,1.2062939695027104,1.906340730905523,-1.660637942910995,3,0,0,0,0,0,1,0,0,0,0,0
Australia,7.45,1.1654560292717144,1.204524231248326,1.1481390292206641,1.3205636853589082,1.9811137666539866,-2.0082503120207003,5,0,0,0,0,0,1,0,0,0,0,0
Australia,7.406,1.1749977229827875,1.3066589092800363,1.1615658800403268,1.413407829492068,2.305130254897329,-1.9226841903936958,6,0,0,0,0,0,1,0,0,0,0,0
